account,company,statement_type,account_kr,unit,2023,2024,2025
Revenue,하이브,연결,매출액,KRW,2178088207000.0,2255648536000.0,2649870246000.0
Operating_Profit,하이브,연결,영업이익,KRW,295643307000.0,184045287000.0,49318276000.0
Net_Income,하이브,연결,당기순이익,KRW,183449559000.0,-3431847000.0,-254385318000.0
Total_Assets,하이브,연결,자산총계,KRW,5345681487000.0,5479186860000.0,5485474443000.0
Operating_Cash_Flow,하이브,연결,영업활동현금흐름,KRW,310627196000.0,151599247000.0,107483561000.0
Intangible_Assets,하이브,연결,무형자산 및 영업권,KRW,2165250407000.0,2244256804000.0,1986685747000.0
Goodwill,하이브,연결,영업권,KRW,1717432202000.0,1809808639000.0,1679490429000.0
Investment_in_Associates,하이브,연결,관계기업 및 공동기업 투자,KRW,241079851000.0,216075217000.0,101756197000.0
Accounts_Receivable,하이브,연결,매출채권,KRW,214976558000.0,262261126000.0,283557531000.0
Inventory,하이브,연결,재고자산,KRW,125860185000.0,163151790000.0,184400391000.0
Trade_Payables,하이브,연결,매입채무,KRW,22935186000.0,33046028000.0,56053974000.0
